company_name,industry,address,search_url,map_url,tel
株式会社ＳＵＫＵＩ住建,建設業,大阪府堺市中区深井中町７４０番地の１０,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%EF%BC%B3%EF%BC%B5%EF%BC%AB%EF%BC%B5%EF%BC%A9%E4%BD%8F%E5%BB%BA,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%B7%B1%E4%BA%95%E4%B8%AD%E7%94%BA%EF%BC%97%EF%BC%94%EF%BC%90%E7%95%AA%E5%9C%B0%E3%81%AE%EF%BC%91%EF%BC%90,
菅野建設株式会社,建設業,大阪府堺市中区八田西町２丁６番２１号,https://www.google.com/search?q=%E8%8F%85%E9%87%8E%E5%BB%BA%E8%A8%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%85%AB%E7%94%B0%E8%A5%BF%E7%94%BA%EF%BC%92%E4%B8%81%EF%BC%96%E7%95%AA%EF%BC%92%EF%BC%91%E5%8F%B7,
株式会社大重組,建設業,大阪府堺市東区日置荘北町３丁９番２５号,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E5%A4%A7%E9%87%8D%E7%B5%84,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E6%9D%B1%E5%8C%BA%E6%97%A5%E7%BD%AE%E8%8D%98%E5%8C%97%E7%94%BA%EF%BC%93%E4%B8%81%EF%BC%99%E7%95%AA%EF%BC%92%EF%BC%95%E5%8F%B7,
泉州通信建設株式会社,建設業,大阪府堺市北区北長尾町１丁７番１１号長谷川ビル３０３,https://www.google.com/search?q=%E6%B3%89%E5%B7%9E%E9%80%9A%E4%BF%A1%E5%BB%BA%E8%A8%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%8C%97%E9%95%B7%E5%B0%BE%E7%94%BA%EF%BC%91%E4%B8%81%EF%BC%97%E7%95%AA%EF%BC%91%EF%BC%91%E5%8F%B7%E9%95%B7%E8%B0%B7%E5%B7%9D%E3%83%93%E3%83%AB%EF%BC%93%EF%BC%90%EF%BC%93,
大学ハウス株式会社,建設業,大阪府堺市東区引野町２丁２１番地３,https://www.google.com/search?q=%E5%A4%A7%E5%AD%A6%E3%83%8F%E3%82%A6%E3%82%B9%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E6%9D%B1%E5%8C%BA%E5%BC%95%E9%87%8E%E7%94%BA%EF%BC%92%E4%B8%81%EF%BC%92%EF%BC%91%E7%95%AA%E5%9C%B0%EF%BC%93,
株式会社但馬ハウス,建設業,大阪府堺市北区新金岡町４丁７番７８号,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E4%BD%86%E9%A6%AC%E3%83%8F%E3%82%A6%E3%82%B9,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%96%B0%E9%87%91%E5%B2%A1%E7%94%BA%EF%BC%94%E4%B8%81%EF%BC%97%E7%95%AA%EF%BC%97%EF%BC%98%E5%8F%B7,
大和不動建設株式会社,建設業,大阪府堺市中区深井清水町３７５５番地,https://www.google.com/search?q=%E5%A4%A7%E5%92%8C%E4%B8%8D%E5%8B%95%E5%BB%BA%E8%A8%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%B7%B1%E4%BA%95%E6%B8%85%E6%B0%B4%E7%94%BA%EF%BC%93%EF%BC%97%EF%BC%95%EF%BC%95%E7%95%AA%E5%9C%B0,
株式会社大國工務店,建設業,大阪府堺市南区釜室３０５番地の５,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E5%A4%A7%E5%9C%8B%E5%B7%A5%E5%8B%99%E5%BA%97,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%8D%97%E5%8C%BA%E9%87%9C%E5%AE%A4%EF%BC%93%EF%BC%90%EF%BC%95%E7%95%AA%E5%9C%B0%E3%81%AE%EF%BC%95,
株式会社西上建設,建設業,大阪府堺市南区檜尾４７１番地の１,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E8%A5%BF%E4%B8%8A%E5%BB%BA%E8%A8%AD,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%8D%97%E5%8C%BA%E6%AA%9C%E5%B0%BE%EF%BC%94%EF%BC%97%EF%BC%91%E7%95%AA%E5%9C%B0%E3%81%AE%EF%BC%91,
株式会社東尾工務店,建設業,大阪府堺市中区深井水池町２８５８番地２,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E6%9D%B1%E5%B0%BE%E5%B7%A5%E5%8B%99%E5%BA%97,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%B7%B1%E4%BA%95%E6%B0%B4%E6%B1%A0%E7%94%BA%EF%BC%92%EF%BC%98%EF%BC%95%EF%BC%98%E7%95%AA%E5%9C%B0%EF%BC%92,
不二工営建設株式会社,建設業,大阪府堺市中区土塔町３０７４番地,https://www.google.com/search?q=%E4%B8%8D%E4%BA%8C%E5%B7%A5%E5%96%B6%E5%BB%BA%E8%A8%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%9C%9F%E5%A1%94%E7%94%BA%EF%BC%93%EF%BC%90%EF%BC%97%EF%BC%94%E7%95%AA%E5%9C%B0,
二豊重機建設株式会社,建設業,大阪府堺市堺区三宝町４丁２３２番地の５０,https://www.google.com/search?q=%E4%BA%8C%E8%B1%8A%E9%87%8D%E6%A9%9F%E5%BB%BA%E8%A8%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%A0%BA%E5%8C%BA%E4%B8%89%E5%AE%9D%E7%94%BA%EF%BC%94%E4%B8%81%EF%BC%92%EF%BC%93%EF%BC%92%E7%95%AA%E5%9C%B0%E3%81%AE%EF%BC%95%EF%BC%90,
株式会社万寿建設,建設業,大阪府堺市中区深阪１８４０番地の４,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E4%B8%87%E5%AF%BF%E5%BB%BA%E8%A8%AD,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%B7%B1%E9%98%AA%EF%BC%91%EF%BC%98%EF%BC%94%EF%BC%90%E7%95%AA%E5%9C%B0%E3%81%AE%EF%BC%94,
株式会社水田建設,建設業,大阪府堺市中区上之１９５番地の２,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E6%B0%B4%E7%94%B0%E5%BB%BA%E8%A8%AD,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E4%B8%AD%E5%8C%BA%E4%B8%8A%E4%B9%8B%EF%BC%91%EF%BC%99%EF%BC%95%E7%95%AA%E5%9C%B0%E3%81%AE%EF%BC%92,
株式会社三石組,建設業,大阪府堺市堺区築港南町１番地１番,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E4%B8%89%E7%9F%B3%E7%B5%84,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%A0%BA%E5%8C%BA%E7%AF%89%E6%B8%AF%E5%8D%97%E7%94%BA%EF%BC%91%E7%95%AA%E5%9C%B0%EF%BC%91%E7%95%AA,
